n	55	Q	20	r_mod	22
0	25.0	25.0	0	0	0	1000
1	30.792	21.611	0	6	429	489
2	49.256	1.163	0	14	151	211
3	31.284	41.613	0	9	275	335
4	49.04	6.118	0	14	87	147
5	43.522	5.032	0	11	519	579
6	20.092	47.851	0	14	35	95
7	29.362	43.857	0	14	497	557
8	43.592	16.373	0	12	361	421
9	8.425	35.962	0	9	398	458
10	22.59	4.106	0	15	263	323
11	23.546	22.74	0	14	14	74
12	24.54	28.941	0	7	319	379
13	10.773	6.48	0	15	329	389
14	8.468	49.652	0	7	139	199
15	29.079	18.591	0	7	43	103
16	6.213	8.965	0	6	66	126
17	30.165	32.199	0	14	450	510
18	36.175	39.439	0	15	286	346
19	21.201	19.103	0	15	320	380
20	33.213	8.867	0	14	205	265
21	5.536	0.01	0	15	43	103
22	20.402	32.033	0	12	327	387
23	41.624	36.164	0	5	236	296
24	6.121	13.83	0	14	15	75
25	2.914	17.905	0	14	202	262
26	29.446	23.643	0	5	101	161
27	33.206	23.665	0	12	559	619
28	43.95	8.239	0	14	126	186
29	0.877	35.499	0	13	354	414
30	16.035	8.88	0	14	445	505
31	1.607	24.618	0	5	287	347
32	33.822	45.294	0	14	207	267
33	5.351	33.197	0	12	323	383
34	24.858	30.971	0	14	94	154
35	40.939	38.227	0	14	338	398
36	38.8	1.402	0	10	25	85
37	38.172	36.141	0	7	415	475
38	1.899	28.514	0	13	21	81
39	14.12	25.943	0	8	170	230
40	3.232	19.697	0	5	98	158
41	21.55	48.972	0	6	166	226
42	25.121	14.175	0	13	246	306
43	46.614	33.525	0	9	109	169
44	26.917	10.262	0	12	253	313
45	17.662	23.509	0	10	297	357
46	45.891	16.132	0	8	231	291
47	9.526	12.561	0	14	437	497
48	44.876	15.993	0	11	337	397
49	37.866	5.636	0	14	307	367
50	19.544	2.811	0	6	217	277
51	18.473	7.683	0	14	210	270
52	4.865	5.132	0	13	31	91
53	5.753	46.838	0	5	183	243
54	0.502	12.33	0	15	127	187
55	33.746	28.12	0	14	368	428
56	1.927	28.76	0	-6	458	518
57	40.713	20.398	0	-14	172	232
58	23.997	42.655	0	-9	282	342
59	4.641	41.602	0	-14	143	203
60	19.457	28.911	0	-11	552	612
61	49.712	41.703	0	-14	65	125
62	27.729	30.525	0	-14	510	570
63	29.411	35.205	0	-12	384	444
64	21.106	14.542	0	-9	422	482
65	6.231	27.622	0	-15	291	351
66	5.233	21.397	0	-14	32	92
67	26.298	18.397	0	-7	329	389
68	0.415	27.147	0	-15	352	412
69	44.045	44.43	0	-7	174	234
70	31.177	33.186	0	-7	57	117
71	32.344	28.953	0	-6	98	158
72	28.282	9.106	0	-14	473	533
73	7.452	42.655	0	-15	314	374
74	43.067	20.853	0	-15	341	401
75	16.577	1.804	0	-14	223	283
76	5.976	14.501	0	-15	57	117
77	15.093	2.601	0	-12	356	416
78	10.374	31.063	0	-5	267	327
79	24.231	25.224	0	-14	36	96
80	28.297	11.78	0	-14	228	288
81	35.637	29.455	0	-5	109	169
82	20.539	15.239	0	-12	574	634
83	14.764	30.114	0	-14	162	222
84	1.947	14.707	0	-13	374	434
85	30.085	33.939	0	-14	473	533
86	21.311	25.25	0	-5	306	366
87	33.972	7.487	0	-14	244	304
88	43.162	13.59	0	-12	365	425
89	24.153	10.356	0	-14	114	174
90	4.895	49.819	0	-14	375	435
91	40.441	13.417	0	-10	37	97
92	49.513	33.466	0	-7	426	486
93	12.35	35.096	0	-13	33	93
94	0.797	45.09	0	-8	193	253
95	2.093	41.458	0	-5	119	179
96	40.711	22.952	0	-6	198	258
97	42.301	11.262	0	-13	263	323
98	27.666	25.127	0	-9	129	189
99	26.881	2.86	0	-12	260	320
100	25.203	37.36	0	-10	312	372
101	38.211	44.863	0	-8	260	320
102	36.285	23.702	0	-14	465	525
103	44.16	28.401	0	-11	349	409
104	46.204	48.128	0	-14	350	410
105	16.726	43.052	0	-6	257	317
106	49.977	34.604	0	-14	251	311
107	4.367	17.426	0	-13	43	103
108	22.945	21.747	0	-5	213	273
109	39.211	6.138	0	-15	166	226
110	6.882	36.556	0	-14	396	456
111	25.0	25.0	0	0	0	1000
