n	45	Q	20	r_mod	17
0	25.0	25.0	0	0	0	1000
1	30.792	21.611	0	6	429	489
2	49.256	1.163	0	14	151	211
3	31.284	41.613	0	9	275	335
4	49.04	6.118	0	14	87	147
5	43.522	5.032	0	11	519	579
6	20.092	47.851	0	14	35	95
7	29.362	43.857	0	14	497	557
8	43.592	16.373	0	12	361	421
9	8.425	35.962	0	9	398	458
10	22.59	4.106	0	15	263	323
11	23.546	22.74	0	14	14	74
12	24.54	28.941	0	7	319	379
13	10.773	6.48	0	15	329	389
14	8.468	49.652	0	7	139	199
15	29.079	18.591	0	7	43	103
16	6.213	8.965	0	6	66	126
17	30.165	32.199	0	14	450	510
18	36.175	39.439	0	15	286	346
19	21.201	19.103	0	15	320	380
20	33.213	8.867	0	14	205	265
21	5.536	0.01	0	15	43	103
22	20.402	32.033	0	12	327	387
23	41.624	36.164	0	5	236	296
24	6.121	13.83	0	14	15	75
25	2.914	17.905	0	14	202	262
26	29.446	23.643	0	5	101	161
27	33.206	23.665	0	12	559	619
28	43.95	8.239	0	14	126	186
29	0.877	35.499	0	13	354	414
30	16.035	8.88	0	14	445	505
31	1.607	24.618	0	5	287	347
32	33.822	45.294	0	14	207	267
33	5.351	33.197	0	12	323	383
34	24.858	30.971	0	14	94	154
35	40.939	38.227	0	14	338	398
36	38.8	1.402	0	10	25	85
37	38.172	36.141	0	7	415	475
38	1.899	28.514	0	13	21	81
39	14.12	25.943	0	8	170	230
40	3.232	19.697	0	5	98	158
41	21.55	48.972	0	6	166	226
42	25.121	14.175	0	13	246	306
43	46.614	33.525	0	9	109	169
44	26.917	10.262	0	12	253	313
45	17.662	23.509	0	10	297	357
46	1.927	28.76	0	-6	458	518
47	40.713	20.398	0	-14	172	232
48	23.997	42.655	0	-9	282	342
49	4.641	41.602	0	-14	143	203
50	19.457	28.911	0	-11	552	612
51	49.712	41.703	0	-14	65	125
52	27.729	30.525	0	-14	510	570
53	29.411	35.205	0	-12	384	444
54	21.106	14.542	0	-9	422	482
55	6.231	27.622	0	-15	291	351
56	5.233	21.397	0	-14	32	92
57	26.298	18.397	0	-7	329	389
58	0.415	27.147	0	-15	352	412
59	44.045	44.43	0	-7	174	234
60	31.177	33.186	0	-7	57	117
61	32.344	28.953	0	-6	98	158
62	28.282	9.106	0	-14	473	533
63	7.452	42.655	0	-15	314	374
64	43.067	20.853	0	-15	341	401
65	16.577	1.804	0	-14	223	283
66	5.976	14.501	0	-15	57	117
67	15.093	2.601	0	-12	356	416
68	10.374	31.063	0	-5	267	327
69	24.231	25.224	0	-14	36	96
70	28.297	11.78	0	-14	228	288
71	35.637	29.455	0	-5	109	169
72	20.539	15.239	0	-12	574	634
73	14.764	30.114	0	-14	162	222
74	1.947	14.707	0	-13	374	434
75	30.085	33.939	0	-14	473	533
76	21.311	25.25	0	-5	306	366
77	33.972	7.487	0	-14	244	304
78	43.162	13.59	0	-12	365	425
79	24.153	10.356	0	-14	114	174
80	4.895	49.819	0	-14	375	435
81	40.441	13.417	0	-10	37	97
82	49.513	33.466	0	-7	426	486
83	12.35	35.096	0	-13	33	93
84	0.797	45.09	0	-8	193	253
85	2.093	41.458	0	-5	119	179
86	40.711	22.952	0	-6	198	258
87	42.301	11.262	0	-13	263	323
88	27.666	25.127	0	-9	129	189
89	26.881	2.86	0	-12	260	320
90	25.203	37.36	0	-10	312	372
91	25.0	25.0	0	0	0	1000
