n	75	Q	20	r_mod	31
0	25.0	25.0	0	0	0	1000
1	48.623	36.616	0	5	566	626
2	42.178	41.258	0	14	234	294
3	26.158	15.942	0	14	133	193
4	8.42	9.386	0	15	299	359
5	4.591	15.037	0	12	404	464
6	25.291	33.533	0	14	409	469
7	10.458	40.743	0	7	439	499
8	22.664	15.98	0	14	169	229
9	49.743	2.268	0	9	399	459
10	35.322	28.854	0	15	22	82
11	36.409	23.709	0	11	172	232
12	5.353	48.684	0	15	77	137
13	35.675	40.944	0	14	445	505
14	16.447	48.589	0	5	146	206
15	4.507	32.193	0	15	164	224
16	35.331	22.057	0	14	484	544
17	24.147	21.486	0	14	36	96
18	29.567	7.469	0	15	4	64
19	11.068	43.073	0	10	493	553
20	22.752	32.001	0	6	223	283
21	19.424	43.38	0	5	430	490
22	33.023	36.404	0	14	359	419
23	7.654	12.649	0	14	525	585
24	15.522	44.325	0	10	136	196
25	3.471	34.386	0	14	450	510
26	4.959	31.007	0	7	359	419
27	35.554	5.187	0	14	25	85
28	3.648	28.745	0	10	303	363
29	11.561	33.959	0	14	19	79
30	17.988	42.306	0	14	417	477
31	42.405	2.718	0	15	105	165
32	4.436	48.539	0	14	474	534
33	11.805	44.055	0	8	122	182
34	16.367	42.993	0	13	376	436
35	2.082	28.117	0	14	87	147
36	32.188	42.616	0	9	302	362
37	44.023	44.306	0	14	400	460
38	35.033	29.116	0	14	471	531
39	39.851	11.728	0	14	458	518
40	16.664	35.661	0	14	384	444
41	2.667	24.735	0	8	442	502
42	20.966	7.473	0	14	415	475
43	0.159	25.698	0	8	71	131
44	18.916	3.195	0	15	5	65
45	20.344	49.793	0	14	480	540
46	40.0	19.438	0	14	357	417
47	3.62	35.106	0	14	372	432
48	46.776	14.953	0	7	308	368
49	28.737	27.858	0	7	143	203
50	32.384	12.967	0	15	100	160
51	25.7	6.967	0	14	6	66
52	25.399	15.165	0	6	523	583
53	43.017	25.034	0	12	381	441
54	34.45	12.529	0	15	242	302
55	24.389	0.572	0	14	402	462
56	45.989	10.968	0	11	10	70
57	3.539	44.452	0	6	540	600
58	13.724	0.521	0	7	267	327
59	23.082	27.051	0	6	134	194
60	6.991	28.566	0	9	315	375
61	43.333	2.52	0	9	255	315
62	5.201	17.849	0	15	268	328
63	48.752	22.602	0	14	320	380
64	23.69	20.762	0	14	281	341
65	12.358	2.377	0	8	198	258
66	18.616	29.082	0	8	507	567
