n	15	Q	15	r_mod	5
0	25.0	25.0	0	0	0	1000
1	19.942	16.269	0	7	175	235
2	13.131	45.499	0	9	522	582
3	41.105	42.288	0	10	256	316
4	29.622	23.653	0	5	529	589
5	20.387	33.75	0	11	469	529
6	8.195	24.765	0	5	436	496
7	39.947	22.762	0	10	517	577
8	32.184	39.039	0	8	414	474
9	46.07	49.15	0	11	28	88
10	15.395	23.92	0	11	96	156
11	38.336	13.008	0	8	169	229
12	49.706	28.635	0	10	54	114
13	17.748	22.292	0	10	423	483
14	42.549	29.924	0	8	112	172
15	44.178	9.661	0	11	511	571
16	35.573	46.733	0	-7	209	269
17	36.158	11.897	0	-9	562	622
18	43.76	46.624	0	-10	261	321
19	13.387	36.048	0	-5	549	609
20	21.442	34.131	0	-11	470	530
21	4.515	24.464	0	-5	439	499
22	14.379	35.446	0	-10	545	605
23	17.381	24.472	0	-8	434	494
24	43.627	19.724	0	-11	57	117
25	0.062	49.145	0	-11	125	185
26	42.389	13.101	0	-8	173	233
27	6.799	22.468	0	-10	97	157
28	24.429	6.787	0	-10	439	499
29	44.972	41.699	0	-8	124	184
30	30.09	18.098	0	-11	527	587
31	25.0	25.0	0	0	0	1000
