n	60	Q	15	r_mod	18
0	25.0	25.0	0	0	0	1000
1	34.548	16.947	0	9	527	647
2	28.402	46.895	0	10	143	263
3	16.459	40.222	0	10	144	264
4	2.98	41.789	0	11	154	274
5	27.881	11.25	0	11	203	323
6	12.338	31.567	0	10	22	142
7	24.993	36.846	0	6	137	257
8	34.128	43.463	0	11	411	531
9	37.055	14.494	0	10	510	630
10	42.347	34.9	0	11	193	313
11	21.314	35.006	0	10	325	445
12	4.802	1.609	0	10	80	200
13	3.391	29.245	0	11	149	269
14	32.467	49.455	0	10	272	392
15	40.532	24.883	0	10	115	235
16	43.111	6.773	0	8	374	494
17	7.223	34.563	0	8	89	209
18	16.03	15.249	0	8	535	655
19	8.135	15.82	0	10	151	271
20	30.819	3.48	0	7	560	680
21	15.362	11.994	0	11	347	467
22	5.307	2.384	0	10	182	302
23	47.712	34.265	0	6	545	665
24	9.968	45.713	0	10	458	578
25	39.265	24.082	0	7	381	501
26	39.826	36.958	0	10	203	323
27	31.608	6.402	0	10	39	159
28	0.621	16.762	0	5	280	400
29	33.641	41.836	0	11	184	304
30	18.985	21.045	0	9	365	485
31	27.031	7.841	0	7	70	190
32	32.057	9.578	0	11	33	153
33	42.026	44.074	0	8	541	661
34	34.019	12.171	0	11	23	143
35	41.886	31.076	0	11	33	153
36	44.692	14.562	0	11	319	439
37	8.588	23.12	0	5	26	146
38	21.135	31.892	0	5	531	651
39	13.347	44.698	0	7	254	374
40	27.508	18.838	0	8	97	217
41	11.49	25.126	0	8	69	189
42	4.088	18.481	0	11	227	347
43	29.404	12.838	0	10	172	292
44	7.771	0.816	0	8	143	263
45	24.744	16.408	0	5	375	495
46	2.049	44.44	0	11	96	216
47	32.95	30.817	0	9	244	364
48	21.079	33.248	0	7	118	238
49	48.734	0.58	0	9	178	298
50	12.218	9.802	0	11	131	251
51	11.705	25.19	0	9	165	285
52	14.479	8.259	0	5	325	445
53	16.761	29.237	0	6	464	584
54	10.25	9.981	0	6	378	498
55	27.266	28.179	0	10	214	334
56	48.818	10.333	0	8	330	450
57	38.688	31.838	0	10	413	533
58	25.993	10.235	0	10	220	340
59	45.954	26.277	0	7	366	486
60	37.643	2.372	0	11	1	121
61	13.85	26.773	0	-9	549	669
62	34.924	33.086	0	-10	158	278
63	31.72	11.567	0	-10	176	296
64	28.881	37.179	0	-11	180	300
65	41.328	33.122	0	-11	228	348
66	17.327	29.285	0	-10	27	147
67	22.503	21.888	0	-6	152	272
68	22.048	24.351	0	-11	433	553
69	36.595	28.844	0	-10	524	644
70	1.654	3.597	0	-11	244	364
71	47.114	2.88	0	-10	366	486
72	1.391	41.648	0	-10	120	240
73	7.407	46.855	0	-11	167	287
74	18.813	46.961	0	-10	285	405
75	40.003	25.432	0	-10	115	235
76	14.914	28.117	0	-8	409	529
77	22.596	8.832	0	-8	118	238
78	17.636	45.275	0	-8	565	685
79	46.958	7.59	0	-10	190	310
80	34.451	5.703	0	-7	564	684
81	2.994	22.136	0	-11	362	482
82	38.333	39.87	0	-10	231	351
83	13.195	12.961	0	-6	585	705
84	16.605	25.788	0	-10	479	599
85	5.014	42.745	0	-7	420	540
86	26.079	1.82	0	-10	240	360
87	3.522	33.992	0	-10	78	198
88	41.104	34.886	0	-5	324	444
89	14.032	29.354	0	-11	207	327
90	29.085	43.067	0	-9	389	509
91	11.656	13.989	0	-7	86	206
92	45.083	38.459	0	-11	64	184
93	29.697	8.788	0	-8	578	698
94	48.224	25.855	0	-11	42	162
95	46.562	12.931	0	-11	51	171
96	16.66	2.533	0	-11	349	469
97	12.706	18.166	0	-5	32	152
98	43.191	15.209	0	-5	558	678
99	35.998	25.518	0	-7	283	403
100	3.739	8.584	0	-8	122	242
101	11.362	26.051	0	-8	69	189
102	22.483	27.208	0	-11	247	367
103	11.783	11.296	0	-10	189	309
104	40.339	2.469	0	-8	175	295
105	43.365	43.582	0	-5	407	527
106	13.439	27.175	0	-11	116	236
107	43.579	1.432	0	-9	275	395
108	0.191	33.917	0	-7	138	258
109	19.258	49.55	0	-9	235	355
110	46.471	28.627	0	-11	170	290
111	42.102	6.144	0	-9	200	320
112	2.227	45.296	0	-5	364	484
113	24.738	0.009	0	-6	494	614
114	7.388	10.829	0	-6	380	500
115	19.156	37.067	0	-10	226	346
116	9.488	24.008	0	-8	371	491
117	30.111	46.947	0	-10	430	550
118	42.167	5.23	0	-10	236	356
119	2.426	5.935	0	-7	414	534
120	40.521	15.822	0	-11	14	134
121	25.0	25.0	0	0	0	1000
