n	20	Q	20	r_mod	10
0	25.0	25.0	0	0	0	1000
1	30.792	21.611	0	6	429	489
2	49.256	1.163	0	14	151	211
3	31.284	41.613	0	9	275	335
4	49.04	6.118	0	14	87	147
5	43.522	5.032	0	11	519	579
6	20.092	47.851	0	14	35	95
7	29.362	43.857	0	14	497	557
8	43.592	16.373	0	12	361	421
9	8.425	35.962	0	9	398	458
10	22.59	4.106	0	15	263	323
11	23.546	22.74	0	14	14	74
12	24.54	28.941	0	7	319	379
13	10.773	6.48	0	15	329	389
14	8.468	49.652	0	7	139	199
15	29.079	18.591	0	7	43	103
16	6.213	8.965	0	6	66	126
17	30.165	32.199	0	14	450	510
18	36.175	39.439	0	15	286	346
19	21.201	19.103	0	15	320	380
20	33.213	8.867	0	14	205	265
21	1.927	28.76	0	-6	458	518
22	40.713	20.398	0	-14	172	232
23	23.997	42.655	0	-9	282	342
24	4.641	41.602	0	-14	143	203
25	19.457	28.911	0	-11	552	612
26	49.712	41.703	0	-14	65	125
27	27.729	30.525	0	-14	510	570
28	29.411	35.205	0	-12	384	444
29	21.106	14.542	0	-9	422	482
30	6.231	27.622	0	-15	291	351
31	5.233	21.397	0	-14	32	92
32	26.298	18.397	0	-7	329	389
33	0.415	27.147	0	-15	352	412
34	44.045	44.43	0	-7	174	234
35	31.177	33.186	0	-7	57	117
36	32.344	28.953	0	-6	98	158
37	28.282	9.106	0	-14	473	533
38	7.452	42.655	0	-15	314	374
39	43.067	20.853	0	-15	341	401
40	16.577	1.804	0	-14	223	283
41	25.0	25.0	0	0	0	1000
