n	30	Q	15	r_mod	12
0	25.0	25.0	0	0	0	1000
1	34.548	16.947	0	9	527	647
2	28.402	46.895	0	10	143	263
3	16.459	40.222	0	10	144	264
4	2.98	41.789	0	11	154	274
5	27.881	11.25	0	11	203	323
6	12.338	31.567	0	10	22	142
7	24.993	36.846	0	6	137	257
8	34.128	43.463	0	11	411	531
9	37.055	14.494	0	10	510	630
10	42.347	34.9	0	11	193	313
11	21.314	35.006	0	10	325	445
12	4.802	1.609	0	10	80	200
13	3.391	29.245	0	11	149	269
14	32.467	49.455	0	10	272	392
15	40.532	24.883	0	10	115	235
16	43.111	6.773	0	8	374	494
17	7.223	34.563	0	8	89	209
18	16.03	15.249	0	8	535	655
19	8.135	15.82	0	10	151	271
20	30.819	3.48	0	7	560	680
21	15.362	11.994	0	11	347	467
22	5.307	2.384	0	10	182	302
23	47.712	34.265	0	6	545	665
24	9.968	45.713	0	10	458	578
25	39.265	24.082	0	7	381	501
26	39.826	36.958	0	10	203	323
27	31.608	6.402	0	10	39	159
28	0.621	16.762	0	5	280	400
29	33.641	41.836	0	11	184	304
30	18.985	21.045	0	9	365	485
31	13.85	26.773	0	-9	549	669
32	34.924	33.086	0	-10	158	278
33	31.72	11.567	0	-10	176	296
34	28.881	37.179	0	-11	180	300
35	41.328	33.122	0	-11	228	348
36	17.327	29.285	0	-10	27	147
37	22.503	21.888	0	-6	152	272
38	22.048	24.351	0	-11	433	553
39	36.595	28.844	0	-10	524	644
40	1.654	3.597	0	-11	244	364
41	47.114	2.88	0	-10	366	486
42	1.391	41.648	0	-10	120	240
43	7.407	46.855	0	-11	167	287
44	18.813	46.961	0	-10	285	405
45	40.003	25.432	0	-10	115	235
46	14.914	28.117	0	-8	409	529
47	22.596	8.832	0	-8	118	238
48	17.636	45.275	0	-8	565	685
49	46.958	7.59	0	-10	190	310
50	34.451	5.703	0	-7	564	684
51	2.994	22.136	0	-11	362	482
52	38.333	39.87	0	-10	231	351
53	13.195	12.961	0	-6	585	705
54	16.605	25.788	0	-10	479	599
55	5.014	42.745	0	-7	420	540
56	26.079	1.82	0	-10	240	360
57	3.522	33.992	0	-10	78	198
58	41.104	34.886	0	-5	324	444
59	14.032	29.354	0	-11	207	327
60	29.085	43.067	0	-9	389	509
61	25.0	25.0	0	0	0	1000
