n	10	Q	15	r_mod	3
0	25.0	25.0	0	0	0	1000
1	19.942	16.269	0	7	175	235
2	13.131	45.499	0	9	522	582
3	41.105	42.288	0	10	256	316
4	29.622	23.653	0	5	529	589
5	20.387	33.75	0	11	469	529
6	8.195	24.765	0	5	436	496
7	39.947	22.762	0	10	517	577
8	32.184	39.039	0	8	414	474
9	46.07	49.15	0	11	28	88
10	15.395	23.92	0	11	96	156
11	35.573	46.733	0	-7	209	269
12	36.158	11.897	0	-9	562	622
13	43.76	46.624	0	-10	261	321
14	13.387	36.048	0	-5	549	609
15	21.442	34.131	0	-11	470	530
16	4.515	24.464	0	-5	439	499
17	14.379	35.446	0	-10	545	605
18	17.381	24.472	0	-8	434	494
19	43.627	19.724	0	-11	57	117
20	0.062	49.145	0	-11	125	185
21	25.0	25.0	0	0	0	1000
